"499","迎","","辵","7","S","","","ゲイ、むか-える"
"500","鯨","","魚","19","S","","","ゲイ、くじら"
"501","隙 [6]","","阜","13","S","2010","","ゲキ、すき"
"502","劇","","刀","15","6","","","ゲキ"
"503","撃","擊","手","15","S","","","ゲキ、う-つ"
"504","激","","水","16","6","","","ゲキ、はげ-しい"
"505","桁","","木","10","S","2010","","けた"
"506","欠","缺","缶","4","4","","","ケツ、か-ける、か-く"
"507","穴","","穴","5","6","","","ケツ、あな"
"508","血","","血","6","3","","","ケツ、ち"
"509","決","","水","7","3","","","ケツ、き-める、き-まる"
"510","結","","糸","12","4","","","ケツ、むす-ぶ、ゆ-う、ゆ-わえる"
"511","傑","","人","13","S","","","ケツ"
"512","潔","","水","15","5","","","ケツ、いさぎよ-い"
"513","月","","月","4","1","","","ゲツ、ガツ、つき"
"514","犬","","犬","4","1","","","ケン、いぬ"
"515","件","","人","6","5","","","ケン"
"516","見","","見","7","1","","","ケン、み-る、み-える、み-せる"
"517","券","","刀","8","6","","","ケン"
"518","肩","","肉","8","S","","","ケン、かた"
"519","建","","廴","9","4","","","ケン、（コン）、た-てる、た-つ"
"520","研","硏","石","9","3","","","ケン、と-ぐ"
"521","県","縣","糸","9","3","","","ケン"
"522","倹","儉","人","10","S","","","ケン"
"523","兼","","八","10","S","","","ケン、か-ねる"
"524","剣","劍","刀","10","S","","","ケン、つるぎ"
"525","拳","","手","10","S","2010","","ケン、こぶし"
"526","軒","","車","10","S","","","ケン、のき"
"527","健","","人","11","4","","","ケン、すこ-やか"
"528","険","險","阜","11","5","","","ケン、けわ-しい"
"529","圏","圈","囗","12","S","","","ケン"
"530","堅","","土","12","S","","","ケン、かた-い"
"531","検","檢","木","12","5","","","ケン"
"532","嫌","","女","13","S","1981","","ケン、（ゲン）、きら-う、いや"
"533","献","獻","犬","13","S","","","ケン、（コン）"
"534","絹","","糸","13","6","","","ケン、きぬ"
